City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tual,ID,79.23,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
1,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
2,Makaryev,RU,59.58,broken clouds,57.8797,43.8069,Postoyalyy Dvor
3,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
4,Bredasdorp,ZA,51.33,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
5,Marsh Harbour,BS,83.25,clear sky,26.5412,-77.0636,Abaco Beach Resort
7,Moskovskiy,RU,62.58,light rain,55.5991,37.355,Nmc Apart
8,Torbay,CA,61.88,broken clouds,47.6666,-52.7314,Gallows Cove
9,Hermanus,ZA,50.81,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
10,Atuona,PF,77.81,clear sky,-9.8,-139.0333,Villa Enata
11,Kapoeta,SS,72.37,overcast clouds,4.7717,33.5903,Eastgate Hotel
12,Chengde,CN,67.64,scattered clouds,40.9725,117.9361,Super 8 Hotel
13,Viedma,AR,48.24,moderate rain,-40.8135,-62.9967,Hotel Cristal
14,Hobart,AU,44.06,fog,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
15,Rincon,US,89.56,thunderstorm,32.296,-81.2354,Days Inn Rincon
16,Port Elizabeth,ZA,56.32,clear sky,-33.918,25.5701,39 On Nile Guest House
17,Ushuaia,AR,28.06,clear sky,-54.8,-68.3,Albatross Hotel
18,Tonj,SS,69.96,overcast clouds,7.2737,28.6822,Lakan Hotel
19,Isangel,VU,75.31,overcast clouds,-19.55,169.2667,Tanna Lodge
21,Gold Coast,AU,57.27,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
22,Rikitea,PF,67.86,overcast clouds,-23.1203,-134.9692,People ThankYou
23,Chuy,UY,56.32,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
24,Maxixe,MZ,64.81,clear sky,-23.8597,35.3472,Oceano
25,Punta Arenas,CL,33.91,broken clouds,-53.15,-70.9167,Hotel Hain
26,Mataura,NZ,37.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
27,Gimli,CA,71.62,overcast clouds,50.6336,-96.9907,Lakeview Gimli Resort
28,Hasaki,JP,75.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
29,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
30,Sitka,US,62.49,broken clouds,57.0531,-135.33,Westmark Sitka
31,Cabo Rojo,PR,84.88,broken clouds,18.0866,-67.1457,Hotel Perichi's
32,Plettenberg Bay,ZA,55.13,broken clouds,-34.0527,23.3716,Thanda Vista B&B
34,Padang,ID,76.55,overcast clouds,-0.9492,100.3543,Mercure Padang
35,Zapolyarnyy,RU,60.08,overcast clouds,69.4154,30.8136,Pechenga
36,Pangnirtung,CA,50.0,few clouds,66.1451,-65.7125,Kilabuk Lodge
38,Mar Del Plata,AR,54.09,drizzle,-38.0023,-57.5575,Gran Hotel Mar del Plata
39,Hilo,US,87.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
40,Clyde River,CA,50.23,clear sky,70.4692,-68.5914,Qamaq Hotel
41,Kaitangata,NZ,39.31,light rain,-46.2817,169.8464,Kaitangata Motor Camp
42,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
43,Longyan,CN,76.84,overcast clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
44,Hithadhoo,MV,83.08,overcast clouds,-0.6,73.0833,Scoop Guest House
45,Busselton,AU,58.53,broken clouds,-33.65,115.3333,Observatory Guest House
47,Begoro,GH,69.22,broken clouds,6.3871,-0.3774,Sweet Memories Hotel
49,Saldanha,ZA,48.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
50,Ponta Do Sol,PT,73.0,scattered clouds,32.6667,-17.1,Hotel do Campo
51,Port Hedland,AU,50.05,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
52,Mezhdurechensk,RU,49.91,overcast clouds,53.6942,88.0603,Apartments Mezhdurechensk
53,San Patricio,US,97.52,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
54,Creel,MX,78.67,scattered clouds,27.75,-107.6333,The Lodge at Creel Hotel & SPA
55,Jamestown,US,76.95,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
56,Amatan,MX,77.97,overcast clouds,17.35,-92.75,Las gardenias
57,Najran,SA,86.65,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
58,Nanortalik,GL,46.29,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
60,Thompson,CA,75.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
61,Cape Town,ZA,58.37,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
62,Monrovia,LR,76.77,overcast clouds,6.3005,-10.7969,Sunset Inn
63,Antalaha,MG,66.0,light rain,-14.9003,50.2788,Hotel Vitasoa
64,Molochnoye,RU,57.4,broken clouds,59.2917,39.6787,"""Detskiy Sad Dlya Vzroslykh"""
65,Hamilton,US,87.01,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
66,Saint Anthony,US,87.91,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
67,New Norfolk,AU,43.72,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
68,Ipora,BR,75.47,broken clouds,-16.4419,-51.1178,Oásis Motel
69,Ruteng,ID,58.28,few clouds,-8.6136,120.4721,Hotel FX 72
70,Uruguaiana,BR,67.93,scattered clouds,-29.7547,-57.0883,Fares Turis Hotel
72,Viesca,MX,94.44,clear sky,25.35,-102.8,LA VIEZCA (Parque Magico)
73,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
74,Broome,US,77.7,few clouds,42.2506,-75.833,Chenango Valley State Park
75,Sa Kaeo,TH,73.92,broken clouds,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
76,Upata,VE,75.09,broken clouds,8.0086,-62.3989,Posada Villa Nela
77,Rawson,AR,44.56,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
78,Yuzhnouralsk,RU,67.71,overcast clouds,54.4418,61.2536,Mini Otel' Persona
79,Bad Frankenhausen,DE,62.01,clear sky,51.35,11.1,Hotel Residenz
80,Korla,CN,72.09,scattered clouds,41.7597,86.1469,Gulisitan Hotel
81,Severo-Kurilsk,RU,54.86,broken clouds,50.6789,156.125,Kak Doma
82,Tete,MZ,71.69,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
83,Upernavik,GL,39.61,few clouds,72.7868,-56.1549,Café de Upernavik
84,Nsanje,MW,63.14,clear sky,-16.92,35.262,Nsanje Discovery Lodge
85,Nyurba,RU,65.86,scattered clouds,63.2842,118.3319,"Гостиница ""Comfort"""
86,Paamiut,GL,41.97,light rain,61.994,-49.6678,Pistut
87,Rio Grande,BR,59.11,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
88,Saint-Philippe,RE,65.21,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
89,Ribeira Grande,PT,70.77,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
91,Tsotilion,GR,66.02,clear sky,40.2667,21.3167,Ξενώνας Τσοτύλι
92,Petropavlovsk-Kamchatskiy,RU,64.99,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
93,Port Alfred,ZA,57.06,few clouds,-33.5906,26.891,The Halyards Hotel
94,Aswan,EG,88.9,clear sky,24.0934,32.907,Nuba Nile
95,Muros,ES,80.17,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
96,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
97,Saint Andrews,US,87.13,overcast clouds,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
98,Khatanga,RU,45.23,overcast clouds,71.9667,102.5,"""Khatanga"""
99,Severobaykalsk,RU,51.96,light rain,55.65,109.3167,Hostel03RUS
100,Barrow,US,33.82,overcast clouds,71.2906,-156.7887,King Eider Inn
101,Williams Lake,CA,77.05,overcast clouds,52.1415,-122.1445,Stampeder Motel
103,Ust-Kulom,RU,63.41,light rain,61.6864,53.6902,Ip Napalkov Vasiliy Dmitriyevich
106,Bannu,PK,83.66,overcast clouds,32.9854,70.6027,Oxford Hostel
107,Makat,KZ,89.06,broken clouds,47.6469,53.3463,Umit
108,Gizo,SB,82.15,scattered clouds,-8.103,156.8419,Imagination Island
109,Balkhash,KZ,73.53,clear sky,46.844,74.9804,Family
110,Hirara,JP,84.87,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
111,Longyearbyen,SJ,55.24,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
112,Sept-Iles,CA,70.32,broken clouds,50.2001,-66.3821,Comfort Inn
113,Dalvik,IS,51.73,broken clouds,65.9702,-18.5286,Dalvík Hostel
114,Kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
115,Dingle,PH,75.97,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
116,Djibo,BF,92.55,light rain,14.1022,-1.6306,Centre Des Ressources DPENA
117,Muisne,EC,75.51,overcast clouds,0.6,-80.0333,Quinta Samay
118,Mpulungu,ZM,70.68,clear sky,-8.7623,31.1141,Chela moche guest house
119,Ngunguru,NZ,56.03,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
120,Lakes Entrance,AU,45.16,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
122,Mayo,US,91.51,clear sky,38.8876,-76.5119,Resorts Resource Group International
123,Elizabeth City,US,89.02,scattered clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
124,Khandyga,RU,69.67,overcast clouds,62.6667,135.6,Apel'sin
125,Kapaa,US,82.72,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
126,Ilulissat,GL,47.1,clear sky,69.2167,-51.1,Hotel Arctic
127,Quatre Cocos,MU,70.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
129,Tomatlan,MX,88.05,scattered clouds,19.9333,-105.25,El Salvial
130,Saint-Paul,RE,67.35,light rain,-21.0096,55.2707,Boucan Canot
131,Bengkulu,ID,76.15,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
132,Cururupu,BR,74.32,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
133,Norman Wells,CA,53.64,overcast clouds,65.282,-126.8329,Heritage Hotel
134,Sambava,MG,66.74,broken clouds,-14.2667,50.1667,Melrose
135,Katsuura,JP,76.08,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
137,Grand-Lahou,CI,75.76,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
138,Tasiilaq,GL,48.36,overcast clouds,65.6145,-37.6368,The Red House
139,San Jose,US,91.69,few clouds,37.3394,-121.895,The Westin San Jose
140,Ust-Ishim,RU,55.24,scattered clouds,57.6935,71.1665,"Velichko T.p., Gostinitsa"
141,Menongue,AO,51.73,clear sky,-14.6585,17.691,Ritz Lauca
142,Zhigansk,RU,55.08,broken clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
143,Mount Gambier,AU,44.87,broken clouds,-37.8333,140.7667,The Commodore
144,Nhulunbuy,AU,70.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
145,Yellowknife,CA,66.72,light intensity shower rain,62.456,-114.3525,The Explorer Hotel
146,Salalah,OM,77.41,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
147,Pevek,RU,33.84,clear sky,69.7008,170.3133,Severnoye Zoloto
148,Matamoros,MX,93.31,broken clouds,25.5333,-103.25,Quinta Belem
149,Deputatskiy,RU,58.39,broken clouds,69.3,139.9,Baza Otdykha
150,Riyadh,SA,93.34,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
152,Marawi,PH,68.49,broken clouds,7.9986,124.2928,Derogongan Residence
153,Setermoen,NO,54.43,light rain,68.861,18.3486,Room4You
154,Tuktoyaktuk,CA,39.2,broken clouds,69.4541,-133.0374,End of The Road Ltd.
155,Kavieng,PG,81.97,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
156,Gadwal,IN,75.63,overcast clouds,16.2333,77.8,MS RESIDENCY
158,Erenhot,CN,75.49,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
159,Pafos,CY,78.58,clear sky,34.7667,32.4167,Elysium Hotel
160,Butaritari,KI,81.82,light rain,3.0707,172.7902,Isles Sunset Lodge
161,Faanui,PF,77.99,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
163,Mahebourg,MU,70.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
164,Porto Novo,BJ,75.88,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
165,Victor Harbor,AU,45.68,clear sky,-35.5667,138.6167,McCracken Country Club
166,Byron Bay,AU,52.95,overcast clouds,-28.65,153.6167,Backpackers Inn
167,Brae,GB,51.85,broken clouds,60.3964,-1.353,Busta House Hotel
169,Klaksvik,FO,49.12,overcast clouds,62.2266,-6.589,Airbnb rooms
170,Ixtapa,MX,88.23,scattered clouds,20.7,-105.2,hotel la terminal
171,Kodiak,US,60.31,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
172,Lebu,CL,44.26,light rain,-37.6167,-73.65,Hostal Las Lilas
173,Ushibuka,JP,80.82,overcast clouds,32.1906,130.0228,Hotei
174,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
175,Berlevag,NO,57.0,light rain,70.8578,29.0864,Kvitbrakka
176,Lompoc,US,90.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
177,Garowe,SO,79.3,overcast clouds,8.4054,48.4845,Curubo Hotel
178,Sao Filipe,CV,75.07,clear sky,14.8961,-24.4956,Hotel Xaguate
179,Muzhi,RU,61.56,scattered clouds,65.3667,64.6667,Gostinitsa
180,Esperance,AU,57.79,few clouds,-33.8667,121.9,Hospitality Esperance
182,Vila Velha,BR,69.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
183,Cidreira,BR,60.89,moderate rain,-30.1811,-50.2056,Hotel Castelo
184,Narsaq,GL,61.02,overcast clouds,60.9167,-46.05,Sleep In Narsaq
185,Nicoya,CR,79.99,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
186,Orhei,MD,67.78,scattered clouds,47.3831,28.8231,Chateau Vartely
187,Mokolo,CM,73.31,scattered clouds,10.7398,13.8019,Diwa Hôtel
188,Dickinson,US,93.13,thunderstorm,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
189,Kirakira,SB,81.43,scattered clouds,-10.4544,161.9205,SanBiz Lodge
190,Nikolskoye,RU,58.91,overcast clouds,59.7035,30.7861,Tourist House - Sablino
191,East London,ZA,59.38,clear sky,-33.0153,27.9116,Tu Casa
192,Arraial Do Cabo,BR,71.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
193,Sisimiut,GL,50.94,clear sky,66.9395,-53.6735,Hotel Sisimiut
194,Belmonte,BR,72.91,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
195,Te Anau,NZ,36.0,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
196,Sao Jose Da Coroa Grande,BR,74.68,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
197,Slavonice,CZ,65.62,light rain,48.9975,15.3515,Design Hotel Besídka
198,Tuatapere,NZ,41.99,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
199,Bougouni,ML,75.65,light rain,11.417,-7.479,Non Stop
200,Guerrero Negro,MX,75.07,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
201,Iskateley,RU,68.4,overcast clouds,67.6803,53.1512,Hostel Agat
202,Bethel,US,85.77,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
203,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
205,Acajutla,SV,84.38,overcast clouds,13.5928,-89.8275,Laureles
206,Ryotsu,JP,73.42,light rain,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
207,Oyama,JP,77.59,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
208,Vao,NC,71.08,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
209,Flinders,AU,45.18,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
210,Epe,NG,74.86,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
211,Mogadishu,SO,76.77,light rain,2.0371,45.3438,Hotel Juba
212,Xining,CN,61.0,overcast clouds,36.6167,101.7667,Super Leisure Hotel
213,Nouadhibou,MR,69.78,scattered clouds,20.931,-17.0347,El Medina
214,Angoche,MZ,73.13,scattered clouds,-16.2325,39.9086,Guest House HESADA
217,Krasne,UA,63.61,overcast clouds,49.9145,24.6134,Feniks
219,Kvitok,RU,49.12,overcast clouds,56.0724,98.4813,Zaimka
220,Victoria,HK,85.32,broken clouds,22.2855,114.1577,Mini Central
221,Vestmannaeyjar,IS,50.88,few clouds,63.4427,-20.2734,Glamping & Camping
223,Vila,PT,74.28,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
224,Qaanaaq,GL,46.53,few clouds,77.484,-69.3632,Qaanaaq Hotel
225,Khuzdar,PK,71.65,overcast clouds,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
227,Marquette,US,75.78,clear sky,46.5333,-87.6335,Al Quaal Lodge
228,Omboue,GA,71.01,clear sky,-1.5746,9.2618,Hotel Olako
229,Kindu,CD,75.83,overcast clouds,-2.95,25.95,Résidence Okanda
231,Buarcos,PT,71.94,overcast clouds,40.166,-8.8768,Hotel Sweet Atlantic SPA
232,Bhit Shah,PK,82.45,overcast clouds,25.8044,68.4927,Bhej bhittai rest house
233,Roccastrada,IT,74.88,clear sky,43.0099,11.1665,La Melosa Resort & Spa
